Kategori,pengalaman,label
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Menggunakan cerita dan contoh untuk membangkitkan semangat","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Mendorong eksplorasi minat dan bakat siswa","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Memberikan tantangan yang sesuai dengan tingkat kemampuan","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Memberikan apresiasi terhadap usaha dan prestasi","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Menyediakan dukungan akademis dan emosional","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Menetapkan harapan tinggi dan memberikan dukungan","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Memberikan dorongan untuk bertanggung jawab atas tindakan","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Menggunakan strategi motivasi yang beragam","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Mendorong refleksi diri dan pertumbuhan pribadi","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Mendukung siswa dalam menemukan motivasi internal","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Menggunakan hadiah dan penghargaan sebagai insentif","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Menyediakan sumber daya untuk pengembangan karakter","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Menyediakan dukungan untuk perubahan positif dalam perilaku","Guru Penggerak Telah Melakukan Perannya dengan Baik"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak memberikan perhatian terhadap tujuan pribadi siswa","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak memberikan umpan balik atau motivasi yang cukup","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak membangun rasa percaya diri atau keberanian siswa","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak mendukung siswa dalam mengatasi hambatan","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak memprioritaskan pembangunan hubungan yang mendukung","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak menciptakan lingkungan yang mendukung pertumbuhan","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak menyediakan model peran yang positif","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak menggunakan cerita atau contoh untuk memotivasi","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak mendorong eksplorasi minat dan bakat siswa","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak memberikan tantangan yang memadai","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak memberikan apresiasi atau penghargaan","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak memberikan dukungan akademis atau emosional","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak menetapkan harapan tinggi atau memberikan dukungan","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak mendorong tanggung jawab atas tindakan","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak menggunakan berbagai strategi motivasi","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak mendorong refleksi diri atau pertumbuhan pribadi","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak mendukung siswa dalam menemukan motivasi internal","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak menggunakan hadiah atau penghargaan sebagai insentif","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak menyediakan sumber daya untuk pengembangan karakter","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
"Menjadi motivator untuk mengubah perilaku dan karakter peserta didik kearah yang lebih baik","Tidak memberikan dukungan untuk perubahan positif dalam perilaku","Guru Penggerak Belum Melakukan Perannya Secara Optimal"
